Name,Codename,Cores,Brand,Socket,Process,Clock,Multi,Voltage,Cache L1/L2/L3,TDP,Released
Core i3-2130,Sandy Bridge,2-Core,Intel,1155,32 nm,3400 MHz,34.0x,1.176 V,64K / 256K / 3072K,65W,Sep-11
Core i3-3210,Ivy Bridge,2-Core,Intel,1155,22 nm,3200 MHz,32.0x,unknown,64K / 256K / 3072K,55W,Jan-13
Core i3-3220,Ivy Bridge,2-Core,Intel,1155,22 nm,3300 MHz,33.0x,unknown,64K / 256K / 3072K,55W,Sep-12
Core i3-3220T,Ivy Bridge,2-Core,Intel,1155,22 nm,2800 MHz,28.0x,unknown,64K / 256K / 3072K,35W,Sep-12
Core i3-3225,Ivy Bridge,2-Core,Intel,1155,22 nm,3300 MHz,33.0x,unknown,64K / 256K / 3072K,55W,Sep-12
Core i3-3240,Ivy Bridge,2-Core,Intel,1155,22 nm,3400 MHz,34.0x,unknown,64K / 256K / 3072K,55W,Sep-12
Core i3-3240T,Ivy Bridge,2-Core,Intel,1155,22 nm,3000 MHz,30.0x,unknown,64K / 256K / 3072K,35W,Sep-12
Core i3-4130,Haswell,2-Core,Intel,1150,22 nm,3400 MHz,34.0x,unknown,64K / 256K / 3072K,54W,Sep-13
Core i3-4130T,Haswell,2-Core,Intel,1150,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 3072K,35W,Sep-13
Core i3-4150T,Haswell,2-Core,Intel,1150,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 3072K,35W,May-14
Core i3-4160,Haswell,2-Core,Intel,1150,22 nm,3600 MHz,36.0x,unknown,64K / 256K / 3072K,54W,Jul-14
Core i3-4160T,Haswell,2-Core,Intel,1150,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 3072K,35W,Jul-14
Core i3-4330,Haswell,2-Core,Intel,1150,22 nm,3500 MHz,35.0x,unknown,64K / 256K / 4096K,54W,Sep-13
Core i3-4330T,Haswell,2-Core,Intel,1150,22 nm,3000 MHz,30.0x,unknown,64K / 256K / 4096K,35W,Sep-13
Core i3-4340,Haswell,2-Core,Intel,1150,22 nm,3600 MHz,36.0x,unknown,64K / 256K / 4096K,54W,Sep-13
Core i3-4350,Haswell,2-Core,Intel,1150,22 nm,3600 MHz,36.0x,unknown,64K / 256K / 4096K,54W,May-14
Core i3-4360,Haswell,2-Core,Intel,1150,22 nm,3700 MHz,37.0x,unknown,64K / 256K / 4096K,54W,May-14
Core i3-4360T,Haswell,2-Core,Intel,1150,22 nm,3200 MHz,32.0x,unknown,64K / 256K / 4096K,35W,Jul-14
Core i3-4370,Haswell,2-Core,Intel,1150,22 nm,3800 MHz,38.0x,unknown,64K / 256K / 4096K,54W,Jul-14
Core i3-4370,Haswell,2-Core,Intel,1150,22 nm,3800 MHz,38.0x,unknown,64K / 256K / 4096K,54W,Jul-14
Core i3-530,Clarkdale,2-Core,Intel,1156,32 nm,2933 MHz,22.0x,1.4 V,64K / 256K / 4096K,73W,Jan-10
Core i3-540,Clarkdale,2-Core,Intel,1156,32 nm,3066 MHz,23.0x,1.4 V,64K / 256K / 4096K,73W,Jan-10
Core i3-550,Clarkdale,2-Core,Intel,1156,32 nm,3200 MHz,24.0x,1.4 V,64K / 256K / 4096K,73W,May-10
Core i3-560,Clarkdale,2-Core,Intel,1156,32 nm,3333 MHz,25.0x,1.4 V,64K / 256K / 4096K,73W,Aug-10
Core i3-6100,Skylake,2-Core,Intel,1151,14 nm,3700 MHz,37.0x,unknown,64K / 256K / 4096K,51W,Sep-15
Core i3-6300,Skylake,2-Core,Intel,1151,14 nm,3800 MHz,38.0x,unknown,64K / 256K / 4096K,51W,Sep-15
Core i3-6320,Skylake,2-Core,Intel,1151,14 nm,3900 MHz,39.0x,unknown,64K / 256K / 4096K,51W,Sep-15
Core i5-2300,Sandy Bridge,4-Core,Intel,1155,32 nm,2800 MHz,28.0x,unknown,64K / 256K / 6144K,95W,Jan-11
Core i5-2310,Sandy Bridge,4-Core,Intel,1155,32 nm,2900 MHz,29.0x,1.176 V,64K / 256K / 6144K,95W,May-11
Core i5-2320,Sandy Bridge,4-Core,Intel,1155,32 nm,3000 MHz,30.0x,unknown,64K / 256K / 6144K,95W,Sep-11
Core i5-2380P,Sandy Bridge,4-Core,Intel,1155,32 nm,3100 MHz,31.0x,unknown,64K / 256K / 6144K,95W,Jan-12
Core i5-2390T,Sandy Bridge,2-Core,Intel,1155,32 nm,2700 MHz,27.0x,unknown,64K / 256K / 3072K,35W,Feb-11
Core i5-2400,Sandy Bridge,4-Core,Intel,1155,32 nm,3100 MHz,31.0x,unknown,64K / 256K / 6144K,95W,Jan-11
Core i5-2400S,Sandy Bridge,4-Core,Intel,1155,32 nm,2500 MHz,25.0x,unknown,64K / 256K / 6144K,65W,Jan-11
Core i5-2405S,Sandy Bridge,4-Core,Intel,1155,32 nm,2500 MHz,25.0x,unknown,64K / 256K / 6144K,65W,May-11
Core i5-2450P,Sandy Bridge,4-Core,Intel,1155,32 nm,3200 MHz,32.0x,unknown,64K / 256K / 6144K,95W,Jan-12
Core i5-2500,Sandy Bridge,4-Core,Intel,1155,32 nm,3300 MHz,33.0x,unknown,64K / 256K / 6144K,95W,Jan-11
Core i5-2500K,Sandy Bridge,4-Core,Intel,1155,32 nm,3300 MHz,33.0x,unknown,64K / 256K / 6144K,95W,Jan-11
Core i5-2500S,Sandy Bridge,4-Core,Intel,1155,32 nm,2700 MHz,27.0x,unknown,64K / 256K / 6144K,65W,Jan-11
Core i5-2500T,Sandy Bridge,4-Core,Intel,1155,32 nm,2300 MHz,23.0x,unknown,64K / 256K / 6144K,45W,Jan-11
Core i5-2550K,Sandy Bridge,4-Core,Intel,1155,32 nm,3400 MHz,34.0x,unknown,64K / 256K / 6144K,95W,Jan-12
Core i5-3330,Ivy Bridge,4-Core,Intel,1155,22 nm,3000 MHz,30.0x,unknown,64K / 256K / 6144K,77W,Sep-12
Core i5-3330S,Ivy Bridge,4-Core,Intel,1155,22 nm,2700 MHz,27.0x,unknown,64K / 256K / 6144K,77W,Sep-12
Core i5-3335S,Ivy Bridge,4-Core,Intel,1155,22 nm,2700 MHz,27.0x,unknown,64K / 256K / 6144K,65W,Nov-12
Core i5-3350P,Ivy Bridge,4-Core,Intel,1155,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 6144K,69W,Sep-12
Core i5-3450,Ivy Bridge,4-Core,Intel,1155,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 6144K,77W,Apr-12
Core i5-3450S,Ivy Bridge,4-Core,Intel,1155,22 nm,2800 MHz,28.0x,unknown,64K / 256K / 6144K,65W,Apr-12
Core i5-3470,Ivy Bridge,4-Core,Intel,1155,22 nm,3200 MHz,32.0x,unknown,64K / 256K / 6144K,77W,Jun-12
Core i5-3470S,Ivy Bridge,4-Core,Intel,1155,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 6144K,65W,Jun-12
Core i5-3470T,Ivy Bridge,2-Core,Intel,1155,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 3072K,35W,Jun-12
Core i5-3475S,Ivy Bridge,4-Core,Intel,1155,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 6144K,65W,Jun-12
Core i5-3550,Ivy Bridge,4-Core,Intel,1155,22 nm,3300 MHz,33.0x,unknown,64K / 256K / 6144K,77W,Apr-12
Core i5-3550S,Ivy Bridge,4-Core,Intel,1155,22 nm,3000 MHz,30.0x,unknown,64K / 256K / 6144K,65W,Apr-12
Core i5-3570,Ivy Bridge,4-Core,Intel,1155,22 nm,3400 MHz,34.0x,unknown,64K / 256K / 6144K,77W,Jun-12
Core i5-3570K,Ivy Bridge,4-Core,Intel,1155,22 nm,3400 MHz,34.0x,1.2 V,64K / 256K / 6144K,77W,Apr-12
Core i5-3570S,Ivy Bridge,4-Core,Intel,1155,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 6144K,65W,Jun-12
Core i5-3570T,Ivy Bridge,4-Core,Intel,1155,22 nm,2300 MHz,23.0x,unknown,64K / 256K / 6144K,45W,Apr-12
Core i5-4430,Haswell,4-Core,Intel,1150,22 nm,3000 MHz,30.0x,unknown,64K / 256K / 6144K,84W,Jun-13
Core i5-4430S,Haswell,4-Core,Intel,1150,22 nm,2700 MHz,27.0x,unknown,64K / 256K / 6144K,65W,Jun-13
Core i5-4440,Haswell,4-Core,Intel,1150,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 6144K,84W,Sep-13
Core i5-4440S,Haswell,4-Core,Intel,1150,22 nm,2800 MHz,28.0x,unknown,64K / 256K / 6144K,65W,Sep-13
Core i5-4570,Haswell,4-Core,Intel,1150,22 nm,3200 MHz,32.0x,unknown,64K / 256K / 6144K,84W,Jun-13
Core i5-4570R,Haswell,4-Core,Intel,BGA1364,22 nm,2700 MHz,27.0x,unknown,64K / 256K / 4096K,65W,Jun-13
Core i5-4570S,Haswell,4-Core,Intel,1150,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 6144K,65W,Jun-13
Core i5-4570T,Haswell,2-Core,Intel,1150,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 4096K,35W,Jun-13
Core i5-4570TE,Haswell,2-Core,Intel,1150,22 nm,2700 MHz,27.0x,unknown,64K / 256K / 4096K,35W,Jun-13
Core i5-4590,Haswell,4-Core,Intel,1150,22 nm,3200 MHz,32.0x,unknown,64K / 256K / 6144K,84W,May-14
Core i5-4590S,Haswell,4-Core,Intel,1150,22 nm,2900 MHz,29.0x,unknown,64K / 256K / 6144K,65W,May-14
Core i5-4670,Haswell,4-Core,Intel,1150,22 nm,3400 MHz,34.0x,unknown,64K / 256K / 6144K,84W,Jun-13
Core i5-4670K,Haswell,4-Core,Intel,1150,22 nm,3400 MHz,34.0x,unknown,64K / 256K / 6144K,84W,Jun-13
Core i5-4670R,Haswell,4-Core,Intel,BGA1364,22 nm,3000 MHz,30.0x,unknown,64K / 256K / 4096K,65W,Jun-13
Core i5-4670S,Haswell,4-Core,Intel,1150,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 6144K,65W,Jun-13
Core i5-4670T,Haswell,4-Core,Intel,1150,22 nm,2300 MHz,23.0x,unknown,64K / 256K / 6144K,45W,Jun-13
Core i5-4690,Haswell,4-Core,Intel,1150,22 nm,3400 MHz,34.0x,unknown,64K / 256K / 6144K,84W,May-14
Core i5-4690K,Haswell,4-Core,Intel,1150,22 nm,3500 MHz,35.0x,unknown,64K / 256K / 6144K,88W,Jun-14
Core i5-6400,Skylake,4-Core,Intel,1151,14 nm,2700 MHz,27.0x,unknown,64K / 256K / 6144K,65W,Jul-15
Core i5-650,Clarkdale,2-Core,Intel,1156,32 nm,3200 MHz,24.0x,1.4 V,64K / 256K / 4096K,73W,Jan-10
Core i5-6500,Skylake,4-Core,Intel,1151,14 nm,3200 MHz,32.0x,unknown,64K / 256K / 6144K,65W,Jul-15
Core i5-655K,Clarkdale,2-Core,Intel,1156,32 nm,3200 MHz,24.0x,1.4 V,64K / 256K / 4096K,73W,May-10
Core i5-660,Clarkdale,2-Core,Intel,1156,32 nm,3333 MHz,25.0x,1.4 V,64K / 256K / 4096K,73W,Jan-10
Core i5-6600,Skylake,4-Core,Intel,1151,14 nm,3300 MHz,33.0x,unknown,64K / 256K / 6144K,65W,Jul-15
Core i5-6600K,Skylake,4-Core,Intel,1151,14 nm,3500 MHz,35.0x,unknown,64K / 256K / 6144K,95W,Jul-15
Core i5-661,Clarkdale,2-Core,Intel,1156,32 nm,3333 MHz,25.0x,1.4 V,64K / 256K / 4096K,87W,Jan-10
Core i5-670,Clarkdale,2-Core,Intel,1156,32 nm,3466 MHz,26.0x,1.4 V,64K / 256K / 4096K,73W,Jan-10
Core i5-680,Clarkdale,2-Core,Intel,1156,32 nm,3600 MHz,27.0x,1.4 V,64K / 256K / 4096K,73W,Apr-10
Core i5-7400,Kaby Lake,4-Core,Intel,1151,14 nm,3300 MHz,33.0x,unknown,64K / 256K / 6144K,65W,Sep-16
Core i5-750,Lynnfield,4-Core,Intel,1156,45 nm,2666 MHz,20.0x,1.4 V,64K / 256K / 8192K,95W,Sep-09
Core i5-7500,Kaby Lake,4-Core,Intel,1151,14 nm,3400 MHz,34.0x,unknown,64K / 256K / 6144K,65W,Sep-16
Core i5-7500T,Kaby Lake,4-Core,Intel,1151,14 nm,2400 MHz,24.0x,unknown,64K / 256K / 6144K,35W,Sep-16
Core i5-750s,Lynnfield,4-Core,Intel,1156,45 nm,2400 MHz,18.0x,1.4 V,64K / 256K / 8192K,82W,Jan-10
Core i5-760,Lynnfield,4-Core,Intel,1156,45 nm,2800 MHz,21.0x,1.4 V,64K / 256K / 8192K,95W,Jul-10
Core i5-7600,Kaby Lake,4-Core,Intel,1151,14 nm,3500 MHz,35.0x,unknown,64K / 256K / 6144K,65W,Sep-16
Core i5-7600K,Kaby Lake,4-Core,Intel,1151,14 nm,3800 MHz,38.0x,unknown,64K / 256K / 6144K,95W,Sep-16
Core i5-7600T,Kaby Lake,4-Core,Intel,1151,14 nm,2700 MHz,27.0x,unknown,64K / 256K / 6144K,35W,Sep-16
Core i7-2600,Sandy Bridge,4-Core,Intel,1155,32 nm,3400 MHz,34.0x,unknown,64K / 256K / 8192K,95W,Jan-11
Core i7-2600K,Sandy Bridge,4-Core,Intel,1155,32 nm,3400 MHz,34.0x,unknown,64K / 256K / 8192K,95W,Jan-11
Core i7-2600S,Sandy Bridge,4-Core,Intel,1155,32 nm,2800 MHz,28.0x,unknown,64K / 256K / 8192K,65W,Jan-11
Core i7-2700K,Sandy Bridge,4-Core,Intel,1155,32 nm,3500 MHz,35.0x,unknown,64K / 256K / 8192K,95W,Oct-11
Core i7-3770,Ivy Bridge,4-Core,Intel,1155,22 nm,3400 MHz,34.0x,unknown,64K / 256K / 8192K,77W,Apr-12
Core i7-3770K,Ivy Bridge,4-Core,Intel,1155,22 nm,3500 MHz,35.0x,1.025 V,64K / 256K / 8192K,77W,Apr-12
Core i7-3770S,Ivy Bridge,4-Core,Intel,1155,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 8192K,65W,Apr-12
Core i7-3770T,Ivy Bridge,4-Core,Intel,1155,22 nm,2500 MHz,25.0x,unknown,64K / 256K / 8192K,45W,Apr-12
Core i7-3820,Sandy Bridge-E,4-Core,Intel,2011,32 nm,3600 MHz,36.0x,1.35 V,64K / 256K / 10240K,130W,Feb-12
Core i7-3910K,Sandy Bridge-E,6-Core,Intel,2011,32 nm,3000 MHz,30.0x,1.35 V,64K / 256K / 12288K,130W,Jul-13
Core i7-3930K,Sandy Bridge-E,6-Core,Intel,2011,32 nm,3200 MHz,32.0x,1.35 V,64K / 256K / 12288K,130W,Nov-11
Core i7-3960X,Sandy Bridge-E,6-Core,Intel,2011,32 nm,3300 MHz,33.0x,1.35 V,64K / 256K / 15360K,130W,Nov-11
Core i7-3970X,Sandy Bridge-E,6-Core,Intel,2011,32 nm,3500 MHz,35.0x,1.35 V,64K / 256K / 15360K,150W,Nov-12
Core i7-4765T,Haswell,4-Core,Intel,1150,22 nm,2000 MHz,20.0x,unknown,64K / 256K / 8192K,35W,Jun-13
Core i7-4770,Haswell,4-Core,Intel,1150,22 nm,3400 MHz,34.0x,unknown,64K / 256K / 8192K,84W,Jun-13
Core i7-4770K,Haswell,4-Core,Intel,1150,22 nm,3500 MHz,35.0x,unknown,64K / 256K / 8192K,84W,Jun-13
Core i7-4770R,Haswell,4-Core,Intel,BGA1364,22 nm,3200 MHz,32.0x,unknown,64K / 256K / 6144K,65W,Jun-13
Core i7-4770S,Haswell,4-Core,Intel,1150,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 8192K,65W,Jun-13
Core i7-4770T,Haswell,4-Core,Intel,1150,22 nm,2500 MHz,25.0x,unknown,64K / 256K / 8192K,45W,Jun-13
Core i7-4770TE,Haswell,4-Core,Intel,1150,22 nm,2300 MHz,23.0x,unknown,64K / 256K / 8192K,45W,Jun-13
Core i7-4771,Haswell,4-Core,Intel,1150,22 nm,3500 MHz,35.0x,unknown,64K / 256K / 8192K,84W,Sep-13
Core i7-4790,Haswell,4-Core,Intel,1150,22 nm,3500 MHz,35.0x,unknown,64K / 256K / 8192K,84W,May-14
Core i7-4790K,Haswell,4-Core,Intel,1150,22 nm,4000 MHz,40.0x,unknown,64K / 256K / 8192K,88W,May-14
Core i7-4790S,Haswell,4-Core,Intel,1150,22 nm,3100 MHz,31.0x,unknown,64K / 256K / 8192K,65W,May-14
Core i7-4820K,Ivy Bridge-E,4-Core,Intel,2011,22 nm,3700 MHz,37.0x,1.35 V,64K / 256K / 10240K,130W,Sep-13
Core i7-4930K,Ivy Bridge-E,6-Core,Intel,2011,22 nm,3400 MHz,34.0x,1.35 V,64K / 256K / 12288K,130W,Sep-13
Core i7-4960X,Ivy Bridge-E,6-Core,Intel,2011,22 nm,3600 MHz,36.0x,1.35 V,64K / 256K / 15360K,130W,Sep-13
Core i7-5820K,Haswell-E,6-Core,Intel,2011-3,22 nm,3300 MHz,33.0x,unknown,64K / 256K / 15360K,140W,Sep-14
Core i7-5930K,Haswell-E,6-Core,Intel,2011-3,22 nm,3500 MHz,35.0x,unknown,64K / 256K / 15360K,140W,Sep-14
Core i7-5960X,Haswell-E,8-Core,Intel,2011-3,22 nm,3000 MHz,30.0x,unknown,64K / 256K / 20480K,140W,Sep-14
Core i7-6700,Skylake,4-Core,Intel,1151,14 nm,3400 MHz,34.0x,unknown,64K / 256K / 8192K,65W,Jul-15
Core i7-6700K,Skylake,4-Core,Intel,1151,14 nm,4000 MHz,40.0x,unknown,64K / 256K / 8192K,95W,Aug-15
Core i7-6700T,Skylake,4-Core,Intel,1151,14 nm,2800 MHz,28.0x,unknown,64K / 256K / 8192K,35W,Sep-15
Core i7-6700TE,Skylake,4-Core,Intel,1151,14 nm,2400 MHz,24.0x,unknown,64K / 256K / 8192K,35W,Sep-15
Core i7-6800K,Broadwell-E,6-Core,Intel,2011-3,14 nm,3400 MHz,34.0x,unknown,32K / 256K / 15360K,140W,May-16
Core i7-6850K,Broadwell-E,6-Core,Intel,2011-3,14 nm,3600 MHz,36.0x,unknown,32K / 256K / 15360K,140W,May-16
Core i7-6900K,Broadwell-E,8-Core,Intel,2011-3,14 nm,3200 MHz,32.0x,unknown,32K / 256K / 20480K,140W,May-16
Core i7-6950X,Broadwell-E,10-Core,Intel,2011-3,14 nm,3000 MHz,30.0x,unknown,32K / 256K / 25600K,140W,May-16
Core i7-7700,Kaby Lake,4-Core,Intel,1151,14 nm,3600 MHz,36.0x,unknown,64K / 256K / 8192K,65W,Sep-16
Core i7-7700K,Kaby Lake,4-Core,Intel,1151,14 nm,4200 MHz,42.0x,unknown,64K / 256K / 8192K,95W,Sep-16
Core i7-7700T,Kaby Lake,4-Core,Intel,1151,14 nm,2900 MHz,29.0x,unknown,64K / 256K / 8192K,35W,Sep-16
Core i7-860,Lynnfield,4-Core,Intel,1156,45 nm,2800 MHz,21.0x,1.4 V,64K / 256K / 8192K,95W,Sep-09
Core i7-860S,Lynnfield,4-Core,Intel,1156,45 nm,2533 MHz,19.0x,1.4 V,64K / 256K / 8192K,82W,Jan-10
Core i7-870,Lynnfield,4-Core,Intel,1156,45 nm,2933 MHz,22.0x,1.4 V,64K / 256K / 8192K,95W,Sep-09
Core i7-870S,Lynnfield,4-Core,Intel,1156,45 nm,2666 MHz,20.0x,1.4 V,64K / 256K / 8192K,82W,Jul-10
Core i7-875K,Lynnfield,4-Core,Intel,1156,45 nm,2933 MHz,22.0x,1.4 V,64K / 256K / 8192K,95W,May-10
Core i7-880,Lynnfield,4-Core,Intel,1156,45 nm,3066 MHz,23.0x,1.4 V,64K / 256K / 8192K,95W,May-10
Core i7-920,Bloomfield,4-Core,Intel,1366,45 nm,2666 MHz,20.0x,1.375 V,64K / 256K / 8192K,130W,Nov-08
Core i7-930,Bloomfield,4-Core,Intel,1366,45 nm,2800 MHz,21.0x,1.375 V,64K / 256K / 8192K,130W,Feb-10
Core i7-940,Bloomfield,4-Core,Intel,1366,45 nm,2933 MHz,22.0x,1.375 V,64K / 256K / 8192K,130W,Nov-08
Core i7-950,Bloomfield,4-Core,Intel,1366,45 nm,3066 MHz,23.0x,1.375 V,64K / 256K / 8192K,130W,Jun-09
Core i7-960,Bloomfield,4-Core,Intel,1366,45 nm,3200 MHz,24.0x,1.375 V,64K / 256K / 8192K,130W,Oct-09
Core i7-965,Bloomfield,4-Core,Intel,1366,45 nm,3200 MHz,24.0x,1.375 V,64K / 256K / 8192K,130W,Nov-08
Core i7-970,Gulftown,6-Core,Intel,1366,32 nm,3200 MHz,24.0x,1.3 V,64K / 256K / 12288K,130W,Jul-10
Core i7-975,Bloomfield,4-Core,Intel,1366,45 nm,3333 MHz,25.0x,1.375 V,64K / 256K / 8192K,130W,Jun-09
Core i7-980,Gulftown,6-Core,Intel,1366,32 nm,3333 MHz,25.0x,1.3 V,64K / 256K / 12288K,130W,Jun-11
Core i7-980X,Gulftown,6-Core,Intel,1366,32 nm,3333 MHz,25.0x,1.375 V,64K / 256K / 12288K,130W,Mar-10
Core i7-990X,Gulftown,6-Core,Intel,1366,32 nm,3466 MHz,26.0x,1.375 V,64K / 256K / 12288K,130W,Feb-11
E1-1200,Zacate,2-Core,AMD,FT1,40 nm,1400 MHz,7.0x,1.35 V,64K / 512K / 0K,18W,Jun-12
E1-1500,Zacate,2-Core,AMD,FT1,40 nm,1480 MHz,7.5x,1.35 V,64K / 512K / 0K,18W,Jan-13
E2-1800,Zacate,2-Core,AMD,FT1,40 nm,1700 MHz,8.5x,1.35 V,64K / 512K / 0K,18W,Jun-12
E2-2000,Zacate,2-Core,AMD,FT1,40 nm,1750 MHz,9.0x,1.35 V,64K / 512K / 0K,18W,Jan-13
E2-3200,Llano,2-Core,AMD,FM1,32 nm,2400 MHz,24.0x,1.4125 V,128K / 512K / 0K,65W,Sep-11
FX-4100,Zambezi,4-Core,AMD,AM3+,32 nm,3600 MHz,18.0x,1.425 V,192K / 4096K / 8192K,95W,Oct-11
FX-4120,Zambezi,4-Core,AMD,AM3+,32 nm,3900 MHz,19.5x,1.425 V,192K / 4096K / 8192K,95W,Oct-12
FX-4130,Vishera,4-Core,AMD,AM3+,32 nm,3800 MHz,19.0x,1.425 V,192K / 4096K / 8192K,125W,Jan-13
FX-4150,Zambezi,4-Core,AMD,AM3+,32 nm,3800 MHz,19.0x,1.425 V,192K / 4096K / 8192K,95W,Oct-12
FX-4170,Zambezi,4-Core,AMD,AM3+,32 nm,4200 MHz,21.0x,1.4 V,192K / 4096K / 8192K,125W,Feb-12
FX-4300,Vishera,4-Core,AMD,AM3+,32 nm,3800 MHz,19.0x,1.425 V,192K / 4096K / 8192K,95W,Oct-12
FX-4320,Vishera,4-Core,AMD,AM3+,32 nm,4000 MHz,20.0x,1.425 V,192K / 4096K / 8192K,95W,Oct-12
FX-4350,Vishera,4-Core,AMD,AM3+,32 nm,4200 MHz,19.5x,1.4 V,288K / 4096K / 8192K,125W,Apr-13
FX-6100,Zambezi,6-Core,AMD,AM3+,32 nm,3300 MHz,16.5x,1.425 V,288K / 6144K / 8192K,95W,Oct-11
FX-6120,Zambezi,6-Core,AMD,AM3+,32 nm,3600 MHz,18.0x,1.425 V,288K / 6144K / 8192K,95W,Oct-12
FX-6130,Zambezi,6-Core,AMD,AM3+,32 nm,3600 MHz,18.0x,1.425 V,288K / 6144K / 8192K,95W,Oct-12
FX-6200,Zambezi,6-Core,AMD,AM3+,32 nm,3800 MHz,19.0x,1.4 V,288K / 6144K / 8192K,125W,Feb-12
FX-6300,Vishera,6-Core,AMD,AM3+,32 nm,3500 MHz,17.5x,1.4 V,288K / 6144K / 8192K,95W,Oct-12
FX-6330,Vishera,6-Core,AMD,AM3+,32 nm,3600 MHz,18.0x,1.4 V,288K / 6144K / 8192K,125W,Dec-15
FX-6350,Vishera,6-Core,AMD,AM3+,32 nm,3900 MHz,19.5x,1.4 V,288K / 6144K / 8192K,125W,Apr-13
FX-8100,Zambezi,8-Core,AMD,AM3+,32 nm,2800 MHz,14.0x,1.425 V,384K / 8192K / 8192K,95W,Oct-11
FX-8120,Zambezi,8-Core,AMD,AM3+,32 nm,3100 MHz,15.5x,1.425 V,384K / 8192K / 8192K,125W,Oct-11
FX-8140,Zambezi,8-Core,AMD,AM3+,32 nm,3200 MHz,16.0x,1.425 V,384K / 8192K / 8192K,95W,Oct-12
FX-8150,Zambezi,8-Core,AMD,AM3+,32 nm,3600 MHz,18.0x,1.425 V,384K / 8192K / 8192K,125W,Oct-11
FX-8170,Zambezi,8-Core,AMD,AM3+,32 nm,3900 MHz,19.5x,1.45 V,384K / 8192K / 8192K,125W,Oct-12
FX-8300,Vishera,8-Core,AMD,AM3+,32 nm,3300 MHz,16.5x,1.425 V,384K / 8192K / 8192K,95W,Oct-12
FX-8320,Vishera,8-Core,AMD,AM3+,32 nm,3500 MHz,17.5x,1.425 V,384K / 8192K / 8192K,125W,Oct-12
FX-8320E,Vishera,8-Core,AMD,AM3+,32 nm,3200 MHz,16.0x,1.425 V,384K / 8192K / 8192K,95W,Sep-14
FX-8350,Vishera,8-Core,AMD,AM3+,32 nm,4000 MHz,20.0x,1.45 V,384K / 8192K / 8192K,125W,Oct-12
FX-8370,Vishera,8-Core,AMD,AM3+,32 nm,4000 MHz,20.0x,1.45 V,384K / 8192K / 8192K,125W,Sep-14
FX-8370E,Vishera,8-Core,AMD,AM3+,32 nm,3300 MHz,16.5x,1.45 V,384K / 8192K / 8192K,95W,Sep-14
FX-9370,Vishera,8-Core,AMD,AM3+,32 nm,4400 MHz,22.0x,1.912 V,384K / 8192K / 8192K,220W,Jul-13
FX-9590,Vishera,8-Core,AMD,AM3+,32 nm,4700 MHz,23.5x,1.912 V,384K / 8192K / 8192K,220W,Jul-13
Opteron 140,SledgeHammer,1-Core,AMD,940,130 nm,1400 MHz,7.0x,1.55 V,128K / 1024K / 0K,85W,Jun-03
Opteron 140,SledgeHammer,1-Core,AMD,940,130 nm,1400 MHz,7.0x,1.5 V,128K / 1024K / 0K,82W,Sep-03
Opteron 140,SledgeHammer,1-Core,AMD,940,130 nm,1400 MHz,7.0x,1.5 V,128K / 1024K / 0K,82W,May-04
Opteron 140 EE,SledgeHammer,1-Core,AMD,940,130 nm,1400 MHz,7.0x,1.15 V,128K / 1024K / 0K,30W,Feb-04
Opteron 142,SledgeHammer,1-Core,AMD,940,130 nm,1600 MHz,8.0x,1.55 V,128K / 1024K / 0K,85W,Jun-03
Opteron 142,SledgeHammer,1-Core,AMD,940,130 nm,1600 MHz,8.0x,1.5 V,128K / 1024K / 0K,82W,May-04
Opteron 142,SledgeHammer,1-Core,AMD,940,130 nm,1600 MHz,8.0x,1.5 V,128K / 1024K / 0K,82W,Sep-03
Opteron 144,SledgeHammer,1-Core,AMD,940,130 nm,1800 MHz,9.0x,1.5 V,128K / 1024K / 0K,82W,Sep-03
Opteron 144,Venus,1-Core,AMD,939,90 nm,1800 MHz,9.0x,1.4 V,128K / 1024K / 0K,67W,Aug-05
Opteron 144,Venus,1-Core,AMD,939,90 nm,1800 MHz,9.0x,1.4 V,128K / 1024K / 0K,67W,Aug-05
Opteron 144,SledgeHammer,1-Core,AMD,940,130 nm,1800 MHz,9.0x,1.5 V,128K / 1024K / 0K,82W,May-04
Opteron 144,SledgeHammer,1-Core,AMD,940,130 nm,1800 MHz,9.0x,1.55 V,128K / 1024K / 0K,85W,Jun-03
Opteron 146,SledgeHammer,1-Core,AMD,940,130 nm,2000 MHz,10.0x,1.5 V,128K / 1024K / 0K,89W,Sep-03
Opteron 146,Venus,1-Core,AMD,939,90 nm,2000 MHz,10.0x,1.4 V,128K / 1024K / 0K,67W,Aug-05
